dateRep,cases,,,,,,,,,,
30/06/2020,271,,,,,,,,,,
29/06/2020,351,,,,,,,,,,
28/06/2020,165,,,,,,,,,,
27/06/2020,276,,,,,,,,,,
26/06/2020,460,,,,,,,,,,
25/06/2020,234,,,,,,,,,,
24/06/2020,338,,,,,,,,,,
23/06/2020,310,,,,,,,,,,
22/06/2020,409,,,,,,,,,,
21/06/2020,546,,,,,,,,,,
20/06/2020,346,,,,,,,,,,
19/06/2020,658,,,,,,,,,,
18/06/2020,564,,,,,,,,,,
17/06/2020,783,,,,,,,,,,
16/06/2020,761,,,,,,,,,,
15/06/2020,664,,,,,,,,,,
14/06/2020,556,,,,,,,,,,
13/06/2020,656,,,,,,,,,,
12/6/2020,747,,,,,,,,,,
11/6/2020,684,,,,,,,,,,
10/6/2020,542,,,,,,,,,,
9/6/2020,575,,,,,,,,,,
8/6/2020,791,,,,,,,,,,
7/6/2020,582,,,,,,,,,,
6/6/2020,915,,,,,,,,,,
5/6/2020,787,,,,,,,,,,
4/6/2020,758,,,,,,,,,,
3/6/2020,759,,,,,,,,,,
2/6/2020,545,,,,,,,,,,
1/6/2020,680,,,,,,,,,,
31/05/2020,866,,,,,,,,,,
30/05/2020,623,,,,,,,,,,
29/05/2020,580,,,,,,,,,,
28/05/2020,625,,,,,,,,,,
27/05/2020,658,,,,,,,,,,
26/05/2020,591,,,,,,,,,,
25/05/2020,584,,,,,,,,,,
24/05/2020,782,,,,,,,,,,
23/05/2020,540,,,,,,,,,,
22/05/2020,531,,,,,,,,,,
21/05/2020,492,,,,,,,,,,
20/05/2020,581,,,,,,,,,,
19/05/2020,408,,,,,,,,,,
18/05/2020,262,,,,,,,,,,
17/05/2020,0,,,,,,,,,,
16/05/2020,1063,,,,,,,,,,
15/05/2020,113,,,,,,,,,,
14/05/2020,259,,,,,,,,,,
13/05/2020,280,,,,,,,,,,
12/5/2020,285,,,,,,,,,,
11/5/2020,369,,,,,,,,,,
10/5/2020,255,,,,,,,,,,
9/5/2020,215,,,,,,,,,,
8/5/2020,171,,,,,,,,,,
7/5/2020,168,,,,,,,,,,
6/5/2020,330,,,,,,,,,,
5/5/2020,190,,,,,,,,,,
4/5/2020,235,,,,,,,,,,
3/5/2020,134,,,,,,,,,,
2/5/2020,164,,,,,,,,,,
1/5/2020,222,,,,,,,,,,
30/04/2020,122,,,,,,,,,,
29/04/2020,124,,,,,,,,,,
28/04/2020,172,,,,,,,,,,
27/04/2020,68,,,,,,,,,,
26/04/2020,112,,,,,,,,,,
25/04/2020,70,,,,,,,,,,
24/04/2020,105,,,,,,,,,,
23/04/2020,84,,,,,,,,,,
22/04/2020,61,,,,,,,,,,
21/04/2020,35,,,,,,,,,,
20/04/2020,88,,,,,,,,,,
19/04/2020,63,,,,,,,,,,
18/04/2020,51,,,,,,,,,,
17/04/2020,10,,,,,,,,,,
16/04/2020,70,,,,,,,,,,
15/04/2020,49,,,,,,,,,,
14/04/2020,58,,,,,,,,,,
13/04/2020,52,,,,,,,,,,
12/4/2020,34,,,,,,,,,,
11/4/2020,37,,,,,,,,,,
10/4/2020,61,,,,,,,,,,
9/4/2020,56,,,,,,,,,,
8/4/2020,30,,,,,,,,,,
7/4/2020,38,,,,,,,,,,
6/4/2020,29,,,,,,,,,,
